Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,FamilySize,TotalSpending,TotalAcceptedCmp,CampaignSuccessRate,IsParent,CustomerTenure,Churn,CLV,SpendingToIncome,HighValue,PurchaseActivity
Basic,Married,7500.0,0,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,2,61,0,0.0,0,593,1,0.1026936026936027,0.008132249033462205,0,13
Graduation,Divorced,63033.0,0,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,2,1102,0,0.0,0,226,1,4.854625550660793,0.017482628422755973,1,17
Master,Divorced,59354.0,1,1,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,4,310,0,0.0,1,226,1,1.3656387665198237,0.005222811894532896,0,18
Graduation,Married,17323.0,0,0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,2,46,0,0.0,0,627,0,0.0732484076433121,0.0026552759178018934,0,12
PhD,Single,82800.0,0,0,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,2,1315,3,0.5,0,582,0,2.2555746140651802,0.015881450707117065,1,28
Graduation,Married,41850.0,1,1,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,4,96,0,0.0,1,552,1,0.1735985533453888,0.002293851998757497,0,14
Graduation,Together,37760.0,0,0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,2,317,0,0.0,0,667,0,0.4745508982035928,0.008394904795953497,0,18
Master,Married,76995.0,0,1,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,3,1782,1,0.16666666666666666,1,458,1,3.8823529411764706,0.023144059431658787,1,29
2n Cycle,Single,33812.0,1,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,3,133,0,0.0,1,603,1,0.22019867549668873,0.003933398397066217,0,12
Graduation,Married,37040.0,0,0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,2,316,0,0.0,0,690,1,0.4573082489146165,0.008531087173672416,0,19
Graduation,Married,2447.0,1,0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,3,1730,0,0.0,1,539,1,3.2037037037037037,0.7066993464052288,1,29
PhD,Married,58607.0,0,1,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,3,972,1,0.16666666666666666,1,553,1,1.7545126353790614,0.016584766584766583,0,22
PhD,Married,65324.0,0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,3,544,0,0.0,1,169,0,3.2,0.008327592805204745,0,21
Graduation,Together,40689.0,0,1,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,3,444,0,0.0,1,468,1,0.9466950959488273,0.010911771934136151,0,21
Graduation,Single,18589.0,0,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,2,75,0,0.0,0,543,1,0.13786764705882354,0.004034427111350188,0,13
Graduation,Married,53359.0,1,1,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,4,257,0,0.0,1,398,0,0.6441102756892231,0.004816341829085457,0,17
Graduation,Single,51381.5,1,0,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,3,637,0,0.0,1,494,0,1.286868686868687,0.012397216951296648,0,28
Graduation,Married,38360.0,1,0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,3,131,0,0.0,1,394,0,0.33164556962025316,0.003414926618179922,0,10
PhD,Married,84618.0,0,0,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,2,1672,1,0.16666666666666666,0,219,1,7.6,0.019759155745163615,1,27
Master,Divorced,10979.0,0,0,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,2,30,0,0.0,0,38,0,0.7692307692307693,0.00273224043715847,0,11
Master,Together,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,2,318,0,0.0,0,414,1,0.7662650602409639,0.008233862406462806,0,13
Graduation,Together,40548.0,0,1,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,3,120,1,0.16666666666666666,1,627,0,0.1910828025477707,0.002959382475523441,0,12
PhD,Divorced,46610.0,0,2,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,4,302,1,0.16666666666666666,1,608,0,0.49589490968801314,0.006479157280470276,0,17
Master,Married,68657.0,0,0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,2,1196,0,0.0,0,494,0,2.416161616161616,0.017419674327827785,1,24
Master,Single,49389.0,1,1,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,4,65,0,0.0,1,304,1,0.21311475409836064,0.0013160558817574407,0,12
PhD,Married,67353.0,0,1,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,3,913,0,0.0,1,180,0,5.044198895027624,0.01355524541972266,0,25
2n Cycle,Married,23718.0,1,0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,3,81,0,0.0,1,300,1,0.2691029900332226,0.0034149837682870272,0,13
Graduation,Widow,42429.0,0,1,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,3,67,0,0.0,1,138,1,0.48201438848920863,0.0015790714117369785,0,10
PhD,Divorced,48948.0,0,0,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,2,902,2,0.3333333333333333,0,513,1,1.754863813229572,0.01842734274448916,0,28
Graduation,Married,80011.0,0,1,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,3,1395,0,0.0,1,426,0,3.2669789227166275,0.017434884767284907,1,23
Master,Married,20559.0,1,0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,3,53,0,0.0,1,474,1,0.11157894736842106,0.0025778210116731517,0,13
Graduation,Together,21994.0,0,1,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,3,22,0,0.0,1,552,0,0.039783001808318265,0.0010002273243919072,0,8
PhD,Single,51381.5,0,0,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,2,186,0,0.0,0,236,1,0.7848101265822784,0.0036199095022624436,0,10
Master,Married,7500.0,1,0,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,3,31,0,0.0,1,270,0,0.11439114391143912,0.0041327822956939075,0,10
Graduation,Single,79941.0,0,0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,2,984,0,0.0,0,1,1,492.0,0.012308923969878162,0,16
2n Cycle,Married,7500.0,0,0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,2,122,1,0.16666666666666666,0,597,0,0.2040133779264214,0.01626449806692441,0,16
Graduation,Together,41728.0,1,0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,3,55,0,0.0,1,401,1,0.13681592039800994,0.0013180282297682666,0,14
Graduation,Single,51381.5,2,1,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,5,124,0,0.0,1,179,1,0.6888888888888889,0.0024132730015082957,0,13
PhD,Married,72550.0,1,1,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,4,1319,0,0.0,1,598,0,2.2020033388981637,0.018180314537359927,1,27
Graduation,Widow,65486.0,0,1,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,3,507,0,0.0,1,48,0,10.346938775510203,0.0077419945943469695,0,18
Master,Married,79143.0,0,0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,2,1693,0,0.0,0,687,0,2.4607558139534884,0.021391387849994947,1,31
Graduation,Single,35790.0,1,0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,3,72,0,0.0,1,543,1,0.1323529411764706,0.0020116789136933864,0,12
Graduation,Divorced,82582.0,0,0,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,2,1617,3,0.5,0,22,1,70.30434782608695,0.019580301030478427,1,21
Graduation,Married,66373.0,1,1,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,4,606,0,0.0,1,382,1,1.5822454308093994,0.009130081055835116,0,19
Master,Together,82384.0,0,0,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,2,1957,2,0.3333333333333333,0,587,1,3.328231292517007,0.023754324209504157,1,27
Graduation,Divorced,70287.0,0,0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,2,1093,1,0.16666666666666666,0,453,0,2.407488986784141,0.015550307307079445,1,23
Graduation,Single,27938.0,1,0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,3,29,0,0.0,1,62,0,0.4603174603174603,0.0010379755896775117,0,8
Graduation,Single,51381.5,1,0,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,3,46,0,0.0,1,377,1,0.12169312169312169,0.0008952464360434,0,11
PhD,Married,55954.0,0,1,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,3,518,0,0.0,1,118,1,4.352941176470588,0.009257439013492985,0,23
Master,Single,75777.0,0,0,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,2,1438,3,0.5,0,360,0,3.9833795013850417,0.018976483939929796,1,21
Graduation,Together,66653.0,1,1,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,4,612,0,0.0,1,660,0,0.9258698940998488,0.009181744531460978,0,21
Graduation,Single,61823.0,0,1,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,3,884,0,0.0,1,496,0,1.778672032193159,0.014298654244306418,0,27
PhD,Widow,67680.0,0,1,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,3,606,0,0.0,1,383,0,1.578125,0.00895376841358727,0,23
Graduation,Together,70666.0,0,0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,2,1076,0,0.0,0,205,0,5.223300970873787,0.015226343271965698,1,19
Graduation,Married,25721.0,1,0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,3,34,1,0.16666666666666666,1,404,1,0.08395061728395062,0.0013218256745198662,0,11
Graduation,Together,32474.0,1,1,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,4,11,0,0.0,1,49,0,0.22,0.0003387220939183988,0,10
2n Cycle,Single,88194.0,0,1,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,3,1274,3,0.5,1,102,0,12.368932038834952,0.014445263336923862,1,36
Graduation,Together,69096.0,0,1,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,3,653,0,0.0,1,275,0,2.3659420289855073,0.009450482654818588,0,21
Graduation,Together,74854.0,1,2,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,5,1562,0,0.0,1,447,1,3.486607142857143,0.020867009551800146,1,17
Master,Married,66991.0,0,0,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,2,1253,0,0.0,0,656,0,1.9071537290715372,0.01870372581800812,1,21
2n Cycle,Married,51381.5,1,0,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,3,109,0,0.0,1,653,0,0.16666666666666666,0.0021213448158419693,0,14
Graduation,Married,65031.0,0,1,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,3,863,0,0.0,1,469,0,1.8361702127659574,0.013270389961864928,0,33
PhD,Married,60631.0,1,1,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,4,661,1,0.16666666666666666,1,450,1,1.4656319290465631,0.010901834015041563,0,26
Graduation,Married,28332.0,0,0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,2,65,0,0.0,0,60,1,1.0655737704918034,0.0022941446369957293,0,9
Graduation,Divorced,40246.0,1,0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,3,13,0,0.0,1,557,1,0.023297491039426525,0.000323005441399359,0,9
Master,Married,75251.0,0,0,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,2,1890,1,0.16666666666666666,0,671,0,2.8125,0.0251156115452081,1,23
Graduation,Single,75825.0,0,0,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,2,2209,2,0.3333333333333333,0,625,0,3.5287539936102235,0.02913248753725635,1,26
2n Cycle,Together,26326.0,0,0,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,2,18,0,0.0,0,298,0,0.06020066889632107,0.0006837087400767273,0,6
Graduation,Together,56046.0,0,0,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,2,692,2,0.3333333333333333,0,543,0,1.2720588235294117,0.01234678038075187,0,27
Graduation,Single,29760.0,1,0,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,3,165,0,0.0,1,669,1,0.2462686567164179,0.005544168542723699,0,16
Graduation,Married,26304.0,1,0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,3,16,0,0.0,1,371,0,0.043010752688172046,0.0006082493822467212,0,10
2n Cycle,Married,23559.0,1,0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,3,79,0,0.0,1,361,1,0.21823204419889503,0.0033531409168081495,0,13
Master,Together,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,2,318,0,0.0,0,414,1,0.7662650602409639,0.008233862406462806,0,13
Graduation,Divorced,81361.0,0,0,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,2,778,0,0.0,0,124,0,6.224,0.009562203485656695,0,27
Graduation,Married,29440.0,1,1,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,4,56,0,0.0,1,322,1,0.17337461300309598,0.0019021093033524676,0,12
Master,Married,36138.0,1,1,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,4,151,1,0.16666666666666666,1,348,1,0.4326647564469914,0.004178311519411162,0,15
Graduation,Single,50388.0,0,1,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,3,372,3,0.5,1,32,0,11.272727272727273,0.007382563654765921,0,20
Graduation,Married,79593.0,0,0,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,2,1366,1,0.16666666666666666,0,48,1,27.877551020408163,0.017162097645551173,1,20
Graduation,Together,54178.0,0,1,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,3,194,0,0.0,1,159,1,1.2125,0.0035807231584193138,0,11
PhD,Married,51381.5,2,1,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,5,603,0,0.0,1,587,0,1.0255102040816326,0.011735513063786309,0,26
Graduation,Single,51381.5,1,1,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,4,18,0,0.0,1,33,1,0.5294117647058824,0.0003503138227995913,0,10
Master,Together,51381.5,0,0,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,2,985,0,0.0,0,218,1,4.497716894977169,0.019169950858755412,0,15
Master,Single,42394.0,1,0,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,3,32,0,0.0,1,98,1,0.32323232323232326,0.0007548059912725557,0,11
PhD,Married,23626.0,1,0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,3,43,0,0.0,1,36,1,1.162162162162162,0.0018199517501163922,0,12
Graduation,Married,30096.0,1,0,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,3,45,0,0.0,1,38,0,1.1538461538461537,0.001495165631126026,0,11
Graduation,Widow,47916.0,0,1,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,3,606,1,0.16666666666666666,1,584,1,1.035897435897436,0.012646868543523175,0,23
Graduation,Divorced,51813.0,1,1,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,4,63,0,0.0,1,444,0,0.14157303370786517,0.001215887597946501,0,12
2n Cycle,Married,78497.0,0,0,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,2,978,1,0.16666666666666666,0,210,1,4.6350710900473935,0.012458916150729955,0,26
PhD,Married,50150.0,0,0,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,2,410,0,0.0,0,374,0,1.0933333333333333,0.008175310562102451,0,19
2n Cycle,Single,47823.0,0,1,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,3,72,0,0.0,1,341,0,0.21052631578947367,0.0015055202408832385,0,13
PhD,Single,34554.0,0,1,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,3,55,0,0.0,1,91,1,0.5978260869565217,0.0015916654608594994,0,11
Graduation,Together,85693.0,0,1,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,3,1169,0,0.0,1,435,1,2.6811926605504586,0.013641561836301257,1,30
PhD,Married,65846.0,0,0,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,2,1120,0,0.0,0,408,1,2.73838630806846,0.017009127219159568,1,19
Graduation,Married,87195.0,0,0,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,2,1097,1,0.16666666666666666,0,52,0,20.69811320754717,0.01258085233267581,1,20
Basic,Together,24594.0,1,0,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,3,29,0,0.0,1,201,1,0.14356435643564355,0.0011791014433828013,0,9
Graduation,Married,49096.0,1,1,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,4,187,0,0.0,1,278,0,0.6702508960573477,0.0038087866875776526,0,16
Graduation,Married,52413.0,0,2,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,4,910,0,0.0,1,512,1,1.773879142300195,0.017361773571946428,0,28
Graduation,Single,38557.0,1,0,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,3,145,0,0.0,1,557,0,0.25985663082437277,0.003760568494216505,0,14
Master,Married,89058.0,0,0,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,2,850,0,0.0,0,569,0,1.4912280701754386,0.009544234720803063,0,15
Graduation,Together,77298.0,0,1,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,3,969,0,0.0,1,239,1,4.0375,0.012535737849131295,0,26
PhD,Single,68126.0,0,0,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,2,1820,2,0.3333333333333333,0,596,0,3.0485762144053603,0.026714812042215274,1,25
Master,Together,57288.0,0,1,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,3,608,1,0.16666666666666666,1,4,0,121.6,0.010612857616645429,0,23
Graduation,Single,86037.0,0,0,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,2,730,3,0.5,0,543,1,1.3419117647058822,0.008484623073525651,0,27
PhD,Married,43974.0,1,0,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,3,551,0,0.0,1,564,0,0.9752212389380531,0.01252984650369528,0,23
Graduation,Single,50785.0,1,1,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,4,114,0,0.0,1,292,0,0.3890784982935154,0.0022447131099121807,0,12
Graduation,Married,90765.0,0,0,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,2,1724,2,0.3333333333333333,0,156,0,10.980891719745223,0.01899389639292246,1,16
2n Cycle,Married,36550.0,1,0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,3,577,0,0.0,1,495,1,1.1633064516129032,0.015786161801318706,0,24
2n Cycle,Together,30753.0,1,1,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,4,81,0,0.0,1,353,1,0.2288135593220339,0.0026338037328477596,0,10
Graduation,Together,21918.0,1,0,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,3,33,0,0.0,1,227,0,0.14473684210526316,0.001505543136091975,0,11
Master,Together,56129.0,0,1,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,3,660,0,0.0,1,374,1,1.76,0.011758417958311064,0,22
Master,Single,32557.0,1,0,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,3,80,1,0.16666666666666666,1,125,0,0.6349206349206349,0.0024571533878002334,0,11
Master,Married,19510.0,2,0,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,4,30,0,0.0,1,298,1,0.10033444816053512,0.0015375941776433807,0,11
Graduation,Divorced,30992.0,1,0,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,3,43,0,0.0,1,433,1,0.09907834101382489,0.001387410060336205,0,11
Graduation,Single,101970.0,0,0,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,2,1135,4,0.6666666666666666,0,474,1,2.389473684210526,0.011130615567171058,1,29
2n Cycle,Together,71488.0,0,0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,2,559,0,0.0,0,496,1,1.124748490945674,0.007819384800458812,0,15
Graduation,Single,79607.0,0,0,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,2,1923,1,0.16666666666666666,0,434,0,4.4206896551724135,0.024155863732288212,1,16
Master,Married,54348.0,1,1,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,4,90,0,0.0,1,21,1,4.090909090909091,0.0016559642311726067,0,12
PhD,Married,51381.5,0,1,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,3,404,0,0.0,1,353,0,1.1412429378531073,0.007862599133946383,0,20
PhD,Together,77376.0,1,1,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,4,661,0,0.0,1,50,1,12.96078431372549,0.008542590175375111,0,23
Graduation,Married,62998.0,0,1,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,3,463,0,0.0,1,272,0,1.695970695970696,0.007349323005127066,0,19
Master,Alone,61331.0,1,1,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,4,632,0,0.0,1,476,1,1.3249475890985325,0.010304571838518229,0,26
Graduation,Married,73448.0,0,0,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,2,725,0,0.0,0,139,0,5.178571428571429,0.009870794701085107,0,22
Graduation,Married,51381.5,0,1,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,3,725,0,0.0,1,322,1,2.2445820433436534,0.01410986230720576,0,22
PhD,Married,41551.0,1,1,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,4,279,0,0.0,1,319,1,0.871875,0.00671447824412784,0,19
PhD,Together,62981.0,0,0,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,2,1482,1,0.16666666666666666,0,469,0,3.1531914893617023,0.023530532533104696,1,25
Basic,Divorced,9548.0,1,0,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,3,29,0,0.0,1,690,0,0.041968162083936326,0.003036967221698607,0,12
PhD,Married,33762.0,2,1,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,5,106,0,0.0,1,357,1,0.29608938547486036,0.0031395314397417292,0,14
PhD,Alone,35860.0,1,1,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,4,49,2,0.3333333333333333,1,41,0,1.1666666666666667,0.0013663868826859261,0,9
PhD,Divorced,36921.0,1,1,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,4,38,0,0.0,1,336,1,0.11275964391691394,0.0010291966849033096,0,12
Master,Single,92859.0,0,0,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,2,2077,0,0.0,0,618,1,3.355411954765751,0.02236700409218178,1,23
Master,Together,65104.0,0,1,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,3,1053,1,0.16666666666666666,1,227,0,4.618421052631579,0.016173872974425928,1,22
Graduation,Married,86111.0,0,0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,2,1385,0,0.0,0,436,1,3.1693363844393594,0.016083704942400596,1,24
